Country,Happiness Rank,Happiness Score,Whisker.high,Whisker.low,Economy (GDP per Capita),Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity
Kyrgyzstan,98,5.004000187,5.089919903,4.918080471,0.596220076,0.553457797,0.454943389,0.039439179,0.428580374
Nepal,99,4.961999893,5.067356079,4.856643707,0.479820192,0.504130781,0.440305948,0.072975546,0.394096166
Mongolia,100,4.954999924,5.021679509,4.888320338,1.027235866,0.557783484,0.394143969,0.032902289,0.33846423
South Africa,101,4.828999996,4.929435188,4.728564805,1.054698706,0.18708007,0.479246736,0.072509497,0.13936238
Tunisia,102,4.804999828,4.884367007,4.72563265,1.007265806,0.613212049,0.28968069,0.086723149,0.049693357
Palestinian Territories,103,4.775000095,4.881848343,4.668151848,0.716249228,0.565666974,0.254711062,0.089282602,0.114173174
Egypt,104,4.735000134,4.82513379,4.644866477,0.989701807,0.520187259,0.282110155,0.114381365,0.128631443
Bulgaria,105,4.714000225,4.803694706,4.624305744,1.161459088,0.70821768,0.289231718,0.011051531,0.113177694
Sierra Leone,106,4.709000111,4.850643335,4.567356886,0.368420929,0.005564754,0.318697691,0.071095176,0.293040901
Cameroon,107,4.695000172,4.796540857,4.593459486,0.564305365,0.132892117,0.430388749,0.051306631,0.236298457
Iran,108,4.691999912,4.798224708,4.585775117,1.156873107,0.639333189,0.249322608,0.048761073,0.387242913
Albania,109,4.644000053,4.752464006,4.5355361,0.996192753,0.731159747,0.381498635,0.039864216,0.201312944
Bangladesh,110,4.607999802,4.689821658,4.526177945,0.586682975,0.533241034,0.478356659,0.123717859,0.172255352
Namibia,111,4.573999882,4.770354741,4.377645023,0.964434326,0.338611811,0.520303547,0.093146972,0.077133745
Kenya,112,4.552999973,4.655691591,4.450308356,0.560479462,0.30998835,0.452763766,0.064641319,0.444860309
Mozambique,113,4.550000191,4.774102326,4.325898055,0.23430565,0.106654435,0.480791092,0.179436386,0.322228104
Myanmar,114,4.545000076,4.614739946,4.475260206,0.36711055,0.397522569,0.514492035,0.188816205,0.838075161
Senegal,115,4.534999847,4.601603781,4.468395914,0.479309022,0.409362853,0.377922267,0.115460448,0.183468893
Zambia,116,4.513999939,4.644105501,4.383894376,0.636406779,0.257835895,0.461603492,0.07821355,0.249580145
Iraq,117,4.497000217,4.62259141,4.371409025,1.102710485,0.50118047,0.288555533,0.107215755,0.199637264
Gabon,118,4.465000153,4.557361766,4.37263854,1.198210239,0.356578588,0.312328577,0.076046787,0.043785378
Ethiopia,119,4.460000038,4.542728677,4.3772714,0.339233845,0.353409708,0.408842742,0.165455714,0.31265074
Sri Lanka,120,4.440000057,4.553447192,4.326552922,1.009850144,0.625130832,0.561213255,0.073653966,0.490863562
Armenia,121,4.375999928,4.466734612,4.285265243,0.900596738,0.637524426,0.198303267,0.026674422,0.083488092
India,122,4.315000057,4.371522017,4.258478097,0.792221248,0.455427617,0.469987005,0.092226885,0.231538489
Mauritania,123,4.291999817,4.377163616,4.206836018,0.648457289,0.28534928,0.096098043,0.136957005,0.201870024
Congo (Brazzaville),124,4.290999889,4.410053505,4.171946274,0.808964252,0.289957434,0.435025871,0.079618134,0.120852128
Georgia,125,4.285999775,4.374933966,4.197065584,0.950612664,0.649546981,0.309410036,0.251666635,0.054008815
Congo (Kinshasa),126,4.28000021,4.357810833,4.202189587,0.092102349,0.191407025,0.235961348,0.060241356,0.246455833
Mali,127,4.190000057,4.269670711,4.110329403,0.476180494,0.169365674,0.306613743,0.104970247,0.183354199
Ivory Coast,128,4.179999828,4.275182563,4.084817093,0.603048921,0.04864217,0.447706193,0.130061775,0.20123747
